spotify_track_uri,title,artist,album,listened,skipped,ms_played,incognito_mode,offline,reason_start_trackerror,reason_start_switched-to-audio,reason_start_appload,reason_start_fwdbtn,reason_start_remote,reason_start_clickrow,reason_start_backbtn,reason_start_playbtn,reason_start_trackdone,reason_end_unexpected-exit-while-paused,reason_end_logout,reason_end_trackerror,reason_end_unknown,reason_end_endplay,reason_end_fwdbtn,reason_end_remote,reason_end_unexpected-exit,reason_end_backbtn,reason_end_trackdone
spotify:track:4pt5fDVTg5GhEvEtlz9dKk,I WANNA BE YOUR SLAVE,Måneskin,Teatro d'ira - Vol. I,19,12,1187874,0,0,0,0,0,9,0,1,0,0,9,0,1,0,0,4,8,0,0,0,6
spotify:track:6wOYnPq1hPihRepcDClPUw,Meet Me Halfway,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),19,6,3717395,1,0,0,0,1,4,0,1,0,0,13,0,1,0,0,1,5,0,0,0,12
spotify:track:4EWCNWgDS8707fNSZ1oaA5,Heartless,Kanye West,808s & Heartbreak,19,17,455685,0,0,0,0,1,2,0,14,1,0,1,0,1,0,0,12,5,0,0,0,1
spotify:track:1oYYd2gnWZYrt89EBXdFiO,Message In A Bottle,The Police,Reggatta De Blanc - Remastered 2003,19,15,1764526,0,0,0,0,0,9,0,7,0,0,3,0,0,0,0,9,6,0,0,0,4
spotify:track:4LwU4Vp6od3Sb08CsP99GC,The Next Episode,Dr. Dre,2001,19,16,565183,0,0,0,0,0,8,0,7,0,0,4,0,0,0,0,7,9,0,0,0,3
spotify:track:4MjDJD8cW7iVeWInc2Bdyj,MONACO,Bad Bunny,nadie sabe lo que va a pasar mañana,19,10,3045943,0,0,0,0,0,4,0,2,1,0,12,0,0,0,0,2,7,0,0,1,9
spotify:track:4Hff1IjRbLGeLgFgxvHflk,DARE,Gorillaz,Demon Days,18,8,2541914,0,0,0,0,2,6,0,6,0,0,4,0,2,0,0,5,3,0,0,0,8
spotify:track:4voEoczU7Ijborps9XF1n3,I Get Around,2Pac,Strictly 4 My N.I.G.G.A.Z...,18,16,743880,0,0,1,0,0,10,0,0,3,0,4,0,0,0,0,1,13,0,0,2,2
spotify:track:0I3q5fE6wg7LIfHGngUTnV,Ms. Jackson,Outkast,Stankonia,18,10,2200005,0,0,0,0,1,6,0,5,0,0,6,0,1,0,0,7,3,0,0,0,7
spotify:track:2212oBX0YELcs0sr6DqGer,Music & Me,Nate Dogg,Music and Me,18,16,679742,0,0,0,0,1,9,0,2,1,0,5,0,1,0,0,2,10,0,0,4,1
spotify:track:2fuCquhmrzHpu5xcA1ci9x,Under Pressure - Remastered 2011,Queen,Hot Space,18,11,1686195,0,0,0,0,1,7,0,3,0,0,7,1,1,0,0,3,8,0,0,0,5
spotify:track:0L87MffumRNWrY2SNUFcvs,Cocoon,Milky Chance,Blossom,18,13,1532246,0,0,0,0,0,9,0,4,1,0,4,0,0,0,0,5,8,0,0,0,5
spotify:track:2a1JSfTePKhysdIif2bzut,Workout Plan,Kanye West,The College Dropout,18,11,201788,0,0,0,0,0,12,0,4,1,0,1,0,0,0,0,4,7,0,0,0,7
spotify:track:6MgGapP3EPFm9kYUvYBTZR,I'll Fly Away,Kanye West,The College Dropout,18,17,164304,0,0,0,0,0,7,0,4,0,0,7,0,0,0,0,6,10,0,0,1,1
spotify:track:6bFsQ6yOp3z5mGNkhWP0P1,You Give Me Something,James Morrison,Undiscovered,18,10,1911959,0,0,0,0,0,8,0,4,0,0,6,0,0,0,0,4,6,0,0,0,8
spotify:track:0NrtwAmRAdLxua31SzHvXr,Everything I Am,Kanye West,Graduation,18,14,1052830,0,0,0,0,0,4,0,6,0,0,8,0,0,0,0,6,7,0,0,1,4
spotify:track:3FLPAAlQNb570TtFQ50RwR,Kings Never Die (feat. Gwen Stefani),Eminem,Curtain Call 2,18,12,1813352,0,0,0,0,0,7,0,6,1,0,4,0,1,0,0,4,7,0,0,1,5
